apple_label,semi_major_axis,semi_minor_axis,xc,yc,theta,area,perimeter,eccentricity,volume
57b.jpg,474.43,421.83,647.63,1267.78,3.03,628714.17,2818.09,0.46,150
57c.jpg,488.0,431.38,615.56,1254.36,2.93,661344.71,2891.05,0.47,150
57d.jpg,477.26,436.63,668.3,1279.11,3.06,654657.73,2872.48,0.4,150
57e.jpg,467.64,421.41,675.56,1281.75,0.16,619105.07,2794.91,0.43,150
57f.jpg,471.24,419.27,674.66,1276.47,0.26,620707.96,2800.01,0.46,150
57g.jpg,467.95,429.61,706.57,1225.87,0.34,631582.03,2821.07,0.4,150
57h.jpg,482.66,431.36,709.7,1224.63,0.11,654090.75,2873.76,0.45,150
57i.jpg,443.87,434.25,697.73,1241.02,0.95,605541.88,2758.77,0.21,150
57j.jpg,450.47,441.03,731.07,1244.09,0.45,624134.22,2800.79,0.2,150
58a.jpg,465.93,432.04,644.11,1252.73,3.1,632404.62,2822.06,0.37,150
58b.jpg,472.08,406.74,651.96,1252.62,2.9,603229.57,2764.71,0.51,150
58c.jpg,481.76,433.3,616.68,1242.84,2.97,655804.78,2876.78,0.44,150
58d.jpg,476.19,445.52,626.11,1270.63,3.05,666493.08,2896.43,0.35,150
58e.jpg,467.8,434.65,677.99,1283.0,0.06,638773.97,2836.08,0.37,150
58f.jpg,468.88,417.81,647.91,1249.0,0.45,615447.27,2787.93,0.45,150
58g.jpg,470.61,449.66,682.9,1270.54,0.01,664816.96,2891.51,0.3,150
58h.jpg,455.18,421.93,657.73,1264.16,2.06,603346.11,2756.49,0.38,150
58i.jpg,465.56,430.34,672.16,1281.47,2.45,629418.14,2815.65,0.38,150
59a.jpg,394.51,371.0,581.33,1205.49,1.69,459810.69,2405.48,0.34,120
59b.jpg,405.05,363.97,585.67,1206.09,1.77,463150.38,2417.67,0.44,120
59c.jpg,405.37,371.86,574.4,1157.06,2.04,473568.09,2442.88,0.4,120
59d.jpg,400.55,378.54,635.59,1196.01,1.71,476341.82,2448.07,0.33,120
59e.jpg,394.23,367.63,674.66,1241.46,1.41,455309.97,2394.17,0.36,120
59f.jpg,406.8,367.26,707.74,1248.42,1.45,469369.35,2433.4,0.43,120
59g.jpg,405.96,363.91,606.1,1293.44,1.56,464117.44,2420.43,0.44,120
59h.jpg,400.77,360.75,704.06,1295.67,1.69,454210.39,2394.05,0.44,120
59i.jpg,400.45,389.19,684.47,1272.29,1.42,489621.28,2480.85,0.24,120
59j.jpg,404.47,389.07,633.07,1279.61,2.42,494382.06,2493.21,0.27,120
60a.jpg,438.57,409.94,753.94,1099.53,2.79,564822.36,2666.44,0.36,140
60b.jpg,436.09,411.35,721.99,1148.36,3.06,563562.51,2662.89,0.33,140
60c.jpg,454.69,395.86,708.21,1160.51,2.74,565458.12,2675.26,0.49,140
60d.jpg,450.63,420.37,659.63,1153.39,2.59,595111.81,2737.14,0.36,140
60e.jpg,449.13,424.23,703.55,1177.65,3.03,598587.92,2744.31,0.33,140
60f.jpg,453.19,412.48,770.11,1190.44,0.1,587258.01,2721.07,0.41,140
60g.jpg,450.03,400.0,723.64,1181.12,0.43,565530.32,2672.77,0.46,140
60h.jpg,446.68,422.57,787.02,1216.62,0.98,592988.44,2731.36,0.32,140
60i.jpg,433.45,421.43,821.3,1217.94,2.91,573863.68,2685.8,0.23,140
60j.jpg,434.56,404.11,823.07,1224.32,0.15,551697.02,2635.63,0.37,140
60k.jpg,443.04,406.88,748.04,1245.6,1.29,566316.06,2671.31,0.4,140
61a.jpg,452.92,403.05,695.25,1230.67,1.83,573495.6,2691.39,0.46,140
61b.jpg,449.93,417.45,730.21,1197.26,2.37,590051.8,2725.88,0.37,140
61c.jpg,444.16,409.58,703.4,1176.37,2.73,571503.91,2683.18,0.39,140
61d.jpg,453.58,416.11,725.22,1188.24,3.07,592942.79,2733.48,0.4,140
61e.jpg,443.83,433.22,713.86,1171.85,1.89,604041.85,2755.41,0.22,140
61f.jpg,429.01,421.54,794.76,1120.96,0.68,568138.3,2672.13,0.19,140
61g.jpg,442.25,410.51,808.4,1098.2,0.59,570349.75,2679.95,0.37,140
61h.jpg,443.49,427.35,760.35,1109.92,0.89,595403.64,2736.04,0.27,140
61i.jpg,451.31,423.96,820.16,1108.14,2.33,601108.68,2750.42,0.34,140
61j.jpg,450.41,406.33,802.6,1103.76,1.8,574955.25,2693.3,0.43,140
61k.jpg,451.49,416.18,736.81,1139.84,2.46,590307.35,2726.99,0.39,140
61l.jpg,451.5,416.23,735.98,1140.41,2.46,590393.11,2727.18,0.39,140
62a.jpg,467.04,439.94,887.05,1252.84,2.08,645507.55,2850.01,0.34,160
62b.jpg,472.45,447.3,886.01,1248.62,1.99,663904.19,2890.02,0.32,160
62c.jpg,469.18,450.28,849.67,1258.39,1.9,663687.87,2888.85,0.28,160
62d.jpg,476.7,458.29,891.02,1272.08,1.96,686329.57,2937.63,0.28,160
62e.jpg,473.24,456.01,885.55,1262.32,0.5,677955.71,2919.56,0.27,160
62f.jpg,468.33,451.22,859.7,1243.27,1.25,663872.02,2889.08,0.27,160
62g.jpg,476.67,441.58,876.8,1238.75,1.41,661271.73,2885.83,0.38,160
62h.jpg,470.82,463.02,880.8,1252.15,1.38,684857.9,2933.78,0.18,160
62i.jpg,468.48,440.31,887.22,1250.08,1.97,648043.9,2855.75,0.34,160
62j.jpg,467.59,451.06,902.39,1228.41,0.24,662602.2,2886.27,0.26,160
62k.jpg,473.95,460.07,881.32,1241.66,1.9,685026.17,2934.48,0.24,160
63a.jpg,377.85,344.33,865.54,981.21,0.16,408738.39,2270.02,0.41,130
63b.jpg,441.56,382.01,893.72,1178.68,3.02,529918.15,2590.69,0.5,130
63c.jpg,444.81,383.61,875.96,1217.26,2.95,536053.08,2606.09,0.51,130
63d.jpg,450.38,381.7,894.04,1145.97,0.15,540068.46,2618.5,0.53,130
63e.jpg,446.79,377.28,950.34,1083.21,0.16,529551.46,2593.47,0.54,130
63f.jpg,438.71,383.77,914.22,1129.28,0.38,528934.69,2586.79,0.48,130
63g.jpg,441.56,377.92,989.43,1212.98,0.07,524254.03,2578.36,0.52,130
63h.jpg,449.3,382.96,1006.36,1192.33,3.1,540556.93,2618.78,0.52,130
63i.jpg,441.9,381.84,985.69,1182.02,2.97,530090.17,2591.28,0.5,130
63j.jpg,454.8,383.87,980.42,1186.64,2.97,548477.55,2639.48,0.54,130
63k.jpg,400.66,381.03,870.51,1192.08,1.73,479599.19,2456.12,0.31,130
63l.jpg,395.52,389.64,911.61,1135.83,2.4,484155.5,2466.7,0.17,130
64a.jpg,372.97,337.27,777.48,1206.53,0.02,395182.17,2232.68,0.43,80
64b.jpg,371.52,332.35,783.6,1195.68,2.71,387904.55,2212.98,0.45,80
64c.jpg,376.41,362.9,815.55,1194.91,2.62,429136.12,2322.8,0.27,80
64d.jpg,378.8,355.78,860.56,1203.59,3.03,423397.31,2308.34,0.34,80
