apple_label,semi_major_axis,semi_minor_axis,area,perimeter,eccentricity,volume
142,483.23,459.84,698133.1,2963.27,0.3,150.0
143,413.38,391.91,508991.31,2530.44,0.31,100.0
144,485.07,454.26,691998.71,2952.07,0.32,150.0
145,465.91,375.41,548841.06,2652.52,0.55,100.0
146,520.87,479.13,784044.93,3143.26,0.37,190.0
147,550.29,488.8,845242.25,3267.43,0.45,190.0
148,484.02,459.31,698337.9,2964.26,0.3,160.0
149,436.11,369.53,506246.02,2535.98,0.51,100.0
150,418.08,396.02,520139.77,2558.08,0.32,100.0
151,487.95,439.73,674126.61,2916.55,0.43,160.0
152,514.97,487.93,789520.03,3151.33,0.31,195.0
153,493.27,473.44,733627.74,3037.41,0.27,175.0
154,418.01,399.16,524188.35,2567.61,0.28,110.0
155,474.34,431.11,642509.54,2846.33,0.41,150.0
156,486.18,458.35,700060.74,2968.06,0.32,155.0
157,510.48,490.0,785809.07,3143.53,0.27,175.0
158,504.34,449.28,711821.63,2998.69,0.44,150.0
159,487.93,469.36,719542.3,3007.7,0.27,120.0
160,476.68,387.6,579750.06,2723.97,0.54,120.0
161,437.13,390.23,535866.15,2601.57,0.44,105.0
162,506.32,451.2,717474.52,3011.12,0.44,160.0
163,514.45,431.39,696827.06,2978.21,0.51,100.0
164,506.57,466.61,742676.02,3058.74,0.38,125.0
165,493.63,478.34,741818.94,3053.79,0.23,170.0
166,546.14,516.91,886845.13,3340.4,0.31,215.0
167,479.77,455.35,686291.8,2938.36,0.3,150.0
168,538.69,507.65,859223.07,3288.03,0.33,200.0
169,507.1,484.68,772143.32,3116.33,0.28,175.0
170,496.65,468.83,731545.8,3033.98,0.31,125.0
171,520.78,494.22,808563.15,3189.46,0.3,190.0
172,383.19,368.81,443975.93,2362.73,0.26,75.0
173,458.28,372.3,535497.76,2617.8,0.55,90.0
174,431.73,393.4,533766.77,2593.68,0.41,95.0
175,514.73,481.49,778469.09,3130.84,0.33,170.0
176,518.18,471.48,767695.6,3111.03,0.41,170.0
177,468.26,424.58,624701.6,2806.77,0.42,130.0
178,459.71,439.21,634343.09,2824.45,0.29,145.0
179,461.93,405.12,587740.57,2727.36,0.46,110.0
180,423.44,405.37,539206.4,2604.19,0.28,120.0
181,474.49,425.27,634000.12,2829.1,0.43,140.0
182,454.84,407.99,582930.31,2712.94,0.43,120.0
183,465.8,423.64,619808.54,2796.1,0.4,170.0
184,498.47,481.81,754589.22,3079.94,0.24,145.0
185,459.9,418.55,604713.67,2761.42,0.41,140.0
186,490.94,430.91,664532.87,2899.38,0.47,145.0
187,512.82,486.57,783878.21,3140.28,0.31,180.0
188,459.93,442.26,639028.77,2834.62,0.27,140.0
189,459.05,436.29,629229.76,2813.28,0.31,125.0
190,488.73,450.12,691051.72,2950.9,0.38,160.0
191,531.0,492.29,821204.66,3216.04,0.37,200.0
192,474.02,448.16,667416.68,2897.72,0.32,150.0
193,437.44,404.84,556485.17,2647.18,0.37,140.0
194,463.24,435.3,633512.93,2823.68,0.33,150.0
195,462.41,413.92,601077.42,2755.52,0.43,140.0
196,493.03,411.39,637110.24,2847.78,0.53,150.0
197,469.24,443.06,653124.01,2866.77,0.32,140.0
198,477.22,440.64,660634.77,2884.85,0.37,150.0
199,451.21,408.45,579153.89,2702.53,0.42,130.0
200,479.85,454.98,685937.93,2937.51,0.3,130.0
